geography,geography_codelist
Avon and Somerset,E23000036
Bedfordshire,E23000026
Cambridgeshire,E23000023
Cheshire,E23000006
Cleveland,E23000013
Cumbria,E23000002
Derbyshire,E23000018
Devon and Cornwall,E23000035
Dorset,E23000039
Durham,E23000008
Dyfed-Powys,W15000004
Essex,E23000028
Gloucestershire,E23000037
Greater Manchester,E23000005
Gwent,W15000002
Hampshire,E23000030
Hertfordshire,E23000027
Humberside,E23000012
Kent,E23000032
Lancashire,E23000003
Leicestershire,E23000021
Lincolnshire,E23000020
"London, City of",E23000034
Merseyside,E23000004
Metropolitan Police,E23000001
Norfolk,E23000024
North Wales,W15000001
North Yorkshire,E23000009
Northamptonshire,E23000022
Northumbria,E23000007
Nottinghamshire,E23000019
South Wales,W15000003
South Yorkshire,E23000011
Staffordshire,E23000015
Suffolk,E23000025
Surrey,E23000031
Sussex,E23000033
Thames Valley,E23000029
Warwickshire,E23000017
West Mercia,E23000016
West Midlands,E23000014
West Yorkshire,E23000010
Wiltshire,E23000038
